Projeto,Ano,Tipo,Autor,Ementa,Situação,Cod_Tipo,Id_Projeto,Data_Projeto
5523.0,2013.0,Requerimento,Cido Reis,"Solicita asfalto em toda extensão da Rua Nicolino Baldino, bairro Nova Era I.",Arquivada,REQ,46434,09/07/2013
5522.0,2013.0,Requerimento,Cido Reis,"Solicita asfalto em toda extensão da Rua Pedestre, bairro Nova Era I.",Arquivada,REQ,46432,09/07/2013
5521.0,2013.0,Requerimento,Cido Reis,Solicita asfalto em toda extensão da Rua Altivo Militão no bairro Nova Era I.,Arquivada,REQ,46329,09/07/2013
5520.0,2013.0,Requerimento,Cido Reis,Solicita asfalto em toda extensão da Rua Comandante Geraldo Bery no bairro Nova Era I.,Arquivada,REQ,46328,09/07/2013
5519.0,2013.0,Requerimento,Cido Reis,Solicita que seja providenciado 4 postes sem iluminação na Rua Antonio Scapim no bairro Miguel Marinho.,Arquivada,REQ,46327,09/07/2013
5518.0,2013.0,Requerimento,Cido Reis,Solicita poda de árvore em toda extensão da Rua Antonio Scapim no bairro Miguel Marinho.,Arquivada,REQ,46326,09/07/2013
5517.0,2013.0,Requerimento,Cido Reis,"Solicita capina e limpeza no Colégio Municipal Batista de Oliveira localizado na Av. Sete de Setembro, número 64 no bairro Costa Carvalho.",Arquivada,REQ,46325,09/07/2013
5516.0,2013.0,Requerimento,Cido Reis,"Solicita capina e limpeza na quadra de esportes localizada na Rua Olga Burnier em frente ao número 407, bairro Costa Carvalho.",Arquivada,REQ,46324,09/07/2013
5515.0,2013.0,Requerimento,Cido Reis,"Solicita capina e limpeza na Rua Nestor Bastos com Av. Sete de Setembro, bairro Costa Carvalho.",Arquivada,REQ,46323,09/07/2013
5514.0,2013.0,Requerimento,Cido Reis,"Solicita capina e limpeza na Rua Nestor Bastos, bairro Costa Carvalho.",Arquivada,REQ,46322,09/07/2013
5513.0,2013.0,Requerimento,Cido Reis,"Solicita que seja providenciado junto a Empav, tapa buraco em toda extensão da Rua Antonio Scapim no Bairro Miguel Marinho.",Arquivada,REQ,46321,09/07/2013
5512.0,2013.0,Requerimento,Cido Reis,"Solicita reforma no escadão localizado na Rua Nestor Bastos esquina com Av. Sete de Setembro, bairro Costa Carvalho.",Arquivada,REQ,46320,09/07/2013
5511.0,2013.0,Requerimento,Jucelio,"Solicita transporte especial aos domingos devido o Evento da Comunidade Resgate, na Fazenda São Fidélis.",Arquivada,REQ,46163,09/07/2013
5510.0,2013.0,Requerimento,Zé Márcio,Solicita a implantação de linhas de ônibus de transporte público que façam o trajeto ligando a UFJF as regiões Leste e Nordeste.,Arquivada,REQ,46057,09/07/2013
5509.0,2013.0,Requerimento,Oliveira Tresse,"Solicita a possibilidade de implantar uma agência de Casa Lotérica da Caixa Econômica Federal, no bairro Linhares.",Arquivada,REQ,46157,09/07/2013
5508.0,2013.0,Requerimento,Oliveira Tresse,"Solicita limpeza da rua Angelo Biggi, no bairro Linhares.",Arquivada,REQ,46156,09/07/2013
5507.0,2013.0,Requerimento,Oliveira Tresse,"Solicita manutenção dos bueiros da rua Mariano Procópio, no bairro Mariano Procópio.",Arquivada,REQ,46155,09/07/2013
5506.0,2013.0,Requerimento,Jucelio,"Solicita junto a Empav, poda de árvores na rua São Mello Franco, no bairro São Mateus.",Arquivada,REQ,46090,09/07/2013
5505.0,2013.0,Requerimento,Jucelio,"Solicita junto a Empav, poda das árvores da rua São Domingos Sávio, no bairro Centenário.",Arquivada,REQ,46089,09/07/2013
5504.0,2013.0,Requerimento,Jucelio,"Solicita junto ao Demlurb, limpeza e remoção do entulho em frente a Escola Municipal União da Betânia, no bairro Granjas Betânia.",Arquivada,REQ,46088,09/07/2013
5503.0,2013.0,Requerimento,Jucelio,"Solicita junto a Secretaria de Obras, reforma da escadaria da rua Continentino Alves Assis, para instalar a rede de captação de águas pluviais.",Arquivada,REQ,46087,09/07/2013
5502.0,2013.0,Requerimento,Jucelio,"Solicita junto a Secretaria de Atividades Urbanas, providências para notificar o proprietário do terreno da rua Dr. José Claro Dia.",Arquivada,REQ,46086,09/07/2013
5501.0,2013.0,Requerimento,Jucelio,"Solicita junto a Secretaria de Atividades Urbanas, providências para notificar a empresa responsável pela obra na Avenida Itamar Franco, ao lado do portão da Universidade Federal de Juiz de Fora.",Arquivada,REQ,46085,09/07/2013
