Projeto,Ano,Tipo,Ementa,Situação,Codigo_Tipo,Id_Projeto,Data_Projeto,Tramitacao_Encerrada,Aprovado
5207,2017,Requerimento,Tapa Buraco rua Nossa Senhora das Graças,Aprovado,REQ,64574,,,
5206,2017,Requerimento,tapa buraco rua Aníbal Alves,Aprovado,REQ,64573,,,
5205,2017,Requerimento,Capina no Bairro Bom Clima,Aprovado,REQ,64571,,,
5204,2017,Requerimento,Operação Tapa Buraco Bairro Bom Clima,Aprovado,REQ,64570,,,
5203,2017,Requerimento,Manutenção Bueiro - Parque Independência,Aprovado,REQ,64683,,,
5202,2017,Requerimento,Solicitação de tapa buraco,Aprovado,REQ,64623,,,
5201,2017,Requerimento,Solicitação de tapa buraco,Aprovado,REQ,64620,,,
5200,2017,Requerimento,Solicitação de capina e limpeza,Aprovado,REQ,64617,,,
5199,2017,Requerimento,Solicitação de limpeza e capina,Aprovado,REQ,64615,,,
5198,2017,Requerimento,Solicitação de limpeza e capina,Aprovado,REQ,64608,,,
5197,2017,Requerimento,Solicitação de limpeza e capina,Aprovado,REQ,64602,,,
5196,2017,Requerimento,Solicitação de limpeza e capina,Aprovado,REQ,64598,,,
5195,2017,Requerimento,Solicitação de limpeza e capina,Aprovado,REQ,64592,,,
5194,2017,Requerimento,Solicitação de iluminação,Aprovado,REQ,64569,,,
5193,2017,Requerimento,Poda de árvore no bairro Vila Ideal,Aprovado,REQ,64641,,,
5192,2017,Requerimento,Capina nas ruas do bairro Caiçaras,Aprovado,REQ,64639,,,
5191,2017,Requerimento,Asfaltamento Condomínio Vale das Frutas.,Aprovado,REQ,64473,,,
5190,2017,Requerimento,Limpeza da servidão no bairro Novo Horizonte,Aprovado,REQ,62656,,,
5189,2017,Requerimento,"Solicita junto à EMPAV o desencadeamento da operação “tapa buraco” na Av. Santa Luzia em frente a Rua Ingrácia Pinheiro, Bairro Santa Luzia.",Aprovado,REQ,64567,,,
5188,2017,Requerimento,"Solicita junto à EMPAV o desencadeamento da operação “tapa buraco” na Av. Santa Luzia entre os nºs 267 e 277, Bairro Santa Luzia.",Aprovado,REQ,64566,,,
5187,2017,Requerimento,"Solicita junto à EMPAV o desencadeamento da operação “tapa buraco” na Av. Santa Luzia em frente aos nºs 537 e 567, Bairro Santa Luzia.",Aprovado,REQ,64565,,,
5186,2017,Requerimento,"Solicita junto à EMPAV o desencadeamento da operação “tapa buraco” na Av. Santa Luzia em frente ao nº 759, Bairro Santa Luzia.",Aprovado,REQ,64564,,,
5185,2017,Requerimento,"Solicita junto à EMPAV o desencadeamento da operação “tapa buraco” na Av. Santa Luzia entre os nº 919, Bairro Santa Luzia.",Aprovado,REQ,64563,,,
5184,2017,Requerimento,"Solicita junto à EMPAV o desencadeamento da operação “tapa buraco” na Av. Santa Luzia entre os nºs 771 até ao nº 785 , Bairro Santa Luzia.",Aprovado,REQ,64562,,,
5183,2017,Requerimento,"Solicita a revitalização do parquinho e o seu cercamento na Praça Olavo Costa (Praça da Baleia), situada na Rua Professor Teodoro Coelho no Bairro Bairu.",Aprovado,REQ,64731,,,
5182,2017,Requerimento,"Solicita a revitalização da calçada da Praça Olavo Costa (Praça da Baleia), situada na Rua Professor Teodoro Coelho no Bairro Bairu.",Aprovado,REQ,64727,,,
5181,2017,Requerimento,tapa buracos na rua Miguel Couto em toda sua extensão no bairro Esplanada.,Aprovado,REQ,64425,,,
5180,2017,Requerimento,tapa buracos na rua Cel. Aprígio Ribeiro em toda sua extensão no bairro Esplanada.,Aprovado,REQ,64423,,,
5179,2017,Requerimento,tapa buracos na rua Prof. Valquírio Seixas de Freitas em toda sua extensão no bairro Esplanada.,Aprovado,REQ,64422,,,
5178,2017,Requerimento,tapa buracos na rua Maria Luisa Tostes em toda sua extensão no bairro Esplanada.,Aprovado,REQ,64418,,,
5177,2017,Requerimento,tapa buracos na rua Bias Fortes em toda sua extensão no bairro Esplanada.,Aprovado,REQ,64416,,,
5176,2017,Requerimento,tapa buracos na rua Eduardo Weis em toda sua extensão no bairro Esplanada.,Aprovado,REQ,64415,,,
5175,2017,Requerimento,tapa buracos na rua Agulhas Negras em toda sua extensão no bairro Monte Castelo.,Aprovado,REQ,64413,,,
5174,2017,Requerimento,tapa buracos na rua Enéas Mascarenhas em toda sua extensão no bairro Monte Castelo.,Aprovado,REQ,64412,,,
5173,2017,Requerimento,tapa buracos na rua Dos Palmares em toda sua extensão no bairro Monte Castelo.,Aprovado,REQ,64410,,,
5172,2017,Requerimento,tapa buracos na rua Luís Baltazar Éberle em toda sua extensão no bairro Monte Castelo.,Aprovado,REQ,64408,,,
5171,2017,Requerimento,tapa buracos na rua Amambaí em toda sua extensão no bairro Monte Castelo,Aprovado,REQ,64406,,,
