Projeto,Ano,Tipo,Ementa,Situacao,Autor,Codigo_Tipo,Id_Projeto_Camara,Data_Projeto,Tramitacao_Encerrada,Aprovado
2122,2012,Requerimento,"Solicita a colocação de corrimão e iluminação no escadão na rua Manoel Lage, bairro Bonfim.",Em Tramitação,Ana do Padre Frederico,REQ,32203,,,
2121,2012,Requerimento,"Solicita a capina iluminação e restauração dos degraus em um escadão que liga a rua AugustoVicente Vieira, bairro Santa Rita com a Rua Alvina de Araújo Alves, no bairro Alto Grajaú.",Em Tramitação,Ana do Padre Frederico,REQ,12895,,,
2120,2012,Requerimento,"Solicita o recapeamento asfáltico em toda extensão da Av. Rui Barbosa, bairro Santa Terezinha.",Em Tramitação,Gasparette,REQ,13782,,,
2119,2012,Requerimento,"Solicita o recapeamento asfáltico em toda extensão da rua Paracatu, bairro Santa Terezinha.",Em Tramitação,Gasparette,REQ,31045,,,
2118,2012,Requerimento,"Solicita o recapeamento asfáltico em toda extensão da Rua Sargento Cunha, bairro Bandeirantes.",Em Tramitação,Gasparette,REQ,31255,,,
2117,2012,Requerimento,Solicita o recapeamento asfáltico em todas as ruas do bairro Granjas Triunfo.,Em Tramitação,Gasparette,REQ,21090,,,
2116,2012,Requerimento,"Solicita a pintura das faixas de sinalização na rua Paracatu, bairro Santa Terezinha.",Em Tramitação,Gasparette,REQ,31044,,,
2115,2012,Requerimento,"Solicita a operação tapa buraco em toda extensão da rua José Líbano Rodrigues, Bairro Bandeirantes.",Em Tramitação,Gasparette,REQ,35728,,,
2114,2012,Requerimento,"Solicita a operação tapa buraco na Av. Rui Barbosa, bairro Santa Terezinha.",Em Tramitação,Gasparette,REQ,13781,,,
2113,2012,Requerimento,"Solicita operação tapa buraco em toda extensão da rua Marcelino Vaz de Magalhães, bairro Bandeirantes.",Em Tramitação,Gasparette,REQ,31254,,,
2112,2012,Requerimento,"Solicita a operação tapa buraco em toda extensão da rua Esperanto, bairro Bandeirantes.",Em Tramitação,Gasparette,REQ,31253,,,
2111,2012,Requerimento,"Solicita a implantação de redutor de velocidade na rua Luiz Rocha, bairro Eldorado.",Em Tramitação,Gasparette,REQ,14106,,,
2110,2012,Requerimento,"Solicita a implantação de redutor de velocidade na rua José Eutropio, bairro Santa Terezinha.",Em Tramitação,Gasparette,REQ,9416,,,
2109,2012,Requerimento,"Solicita passar máquina em toda extensão da rua Francisco Faier Sobrinho, bairro Santos Dumont.",Em Tramitação,Gasparette,REQ,15323,,,
2108,2012,Requerimento,"Solicita a implantação de placas dde sinalização de carga e descarga, na rua Deputado Oliveira Souza, bairro Centro.",Em Tramitação,Gasparette,REQ,4003,,,
2107,2012,Requerimento,"Solicita a recomposição asfáltica em toda extensão da rua Roberto Stigert, bairro São Pedro.",Em Tramitação,Gasparette,REQ,25934,,,
2106,2012,Requerimento,"Solicita a retirada de terra em toda extensão da rua Roberto Stigert, bairro São Pedro.",Em Tramitação,Gasparette,REQ,25933,,,
2105,2012,Requerimento,Solicita jogar escória em toda extensão da estrada José Elias Mokdeci ate o bairro Pedra Branca.,Em Tramitação,Gasparette,REQ,24137,,,
2104,2012,Requerimento,"Solicita implantação de placas de sinalização parada de 10 minutos na rua Deputado Oliveira Souza, bairro Centro.",Em Tramitação,Gasparette,REQ,4002,,,
2103,2012,Requerimento,"Solicita jogar escória em toda extensão da rua Francisco Faier Sobrinho, bairro Santos Dumont.",Em Tramitação,Gasparette,REQ,15322,,,
2102,2012,Requerimento,"Solicita a implantação de dois postes de iluminação na rua Aníbal Garcia, no bairro Vila Ozanan.",Em Tramitação,Betão,REQ,4,,,
2101,2012,Requerimento,Solicita audiencia pública para debater A destinação da Praça do bairro Guaruá as razões do Executivo versus a vontade da comunidade.,Em Tramitação,Wanderson Castelar,REQ,38698,,,
2100,2012,Requerimento,Solicita a operação tapa buracos nas estradas do Bairro Grama e Filgueiras,Em Tramitação,Ana do Padre Frederico,REQ,14639,,,
2099,2012,Requerimento,Solicita a limpeza do córrego no bairro Vila dos Sonhos.,Em Tramitação,Ana do Padre Frederico,REQ,13590,,,
2098,2012,Requerimento,"Solicita a colocação de redutor de velocidade na Rua Inácio Gama, bairro de Lourdes.",Em Tramitação,Ana do Padre Frederico,REQ,22177,,,
2097,2012,Requerimento,Solicita que refaça as pinturas dos quebra-molas e coloque placas de sinalização vertical e horizontal nas estradas do Bairro Grama e Filgeuiras.,Em Tramitação,Ana do Padre Frederico,REQ,14638,,,
2096,2012,Requerimento,Solicita a capina e limpeza nas estradas do Bairro Grama e Filgueiras.,Em Tramitação,Ana do Padre Frederico,REQ,14636,,,
2095,2012,Requerimento,"Solicita a colocação de placas de sinalização e pintura na rua Olinda Colucci Tristão, bairro Vivendas da Serra.",Em Tramitação,Ana do Padre Frederico,REQ,33330,,,
2094,2012,Requerimento,"Solicita o acabamento do asfalto da rua Otávio Pereira Torres, bairro Marumbi.",Em Tramitação,Ana do Padre Frederico,REQ,10929,,,
