Projeto,Ano,Tipo,Autor,Ementa,Situação
2103.0,2012.0,Requerimento,Gasparette,"Solicita jogar escória em toda extensão da rua Francisco Faier Sobrinho, bairro Santos Dumont.",Em Tramitação
2102.0,2012.0,Requerimento,Betão,"Solicita a implantação de dois postes de iluminação na rua Aníbal Garcia, no bairro Vila Ozanan.",Em Tramitação
2101.0,2012.0,Requerimento,Wanderson Castelar,Solicita audiencia pública para debater A destinação da Praça do bairro Guaruá as razões do Executivo versus a vontade da comunidade.,Em Tramitação
2100.0,2012.0,Requerimento,Ana do Padre Frederico,Solicita a operação tapa buracos nas estradas do Bairro Grama e Filgueiras,Em Tramitação
2099.0,2012.0,Requerimento,Ana do Padre Frederico,Solicita a limpeza do córrego no bairro Vila dos Sonhos.,Em Tramitação
2098.0,2012.0,Requerimento,Ana do Padre Frederico,"Solicita a colocação de redutor de velocidade na Rua Inácio Gama, bairro de Lourdes.",Em Tramitação
2097.0,2012.0,Requerimento,Ana do Padre Frederico,Solicita que refaça as pinturas dos quebra-molas e coloque placas de sinalização vertical e horizontal nas estradas do Bairro Grama e Filgeuiras.,Em Tramitação
2096.0,2012.0,Requerimento,Ana do Padre Frederico,Solicita a capina e limpeza nas estradas do Bairro Grama e Filgueiras.,Em Tramitação
2095.0,2012.0,Requerimento,Ana do Padre Frederico,"Solicita a colocação de placas de sinalização e pintura na rua Olinda Colucci Tristão, bairro Vivendas da Serra.",Em Tramitação
2094.0,2012.0,Requerimento,Ana do Padre Frederico,"Solicita o acabamento do asfalto da rua Otávio Pereira Torres, bairro Marumbi.",Em Tramitação
2093.0,2012.0,Requerimento,Betão,"Solicita que seja incluido o CEP, nas ruas A,F e G, bairro Milho Branco II.",Em Tramitação
2092.0,2012.0,Requerimento,Betão,"Solicita que inclua as ruas A, F e G no trajeto da linha de onibus que atende ao bairro Milho Branco.",Em Tramitação
2091.0,2012.0,Requerimento,Betão,"Solicita que o trajeto do ônibus 734, cidade do sol, passe a atender as ruas internas do Loteamento Recanto da Mata, no bairro Jardim do Sol.",Em Tramitação
