Projeto,,Ano,,Tipo,,Autor,,Ementa,,Situação
5781,   ,2013,,Requerimento,,Wanderson Castelar,,"Solicita recapeamento asfáltico da rua Pedro Ronzani, no bairro Monte Castelo.",,Arquivada
,,,,,,,,,,
5780,   ,2013,,Requerimento,,Wanderson Castelar,,Solicita uma Audiência Pública.,,Arquivada
,,,,,,,,,,
5779,   ,2013,,Requerimento,,Júlio Gasparette,,Solicita operação tapa buraco e recapeamento asfáltico na Rua Nelson Luiz Mascarenhas no Bairro Cidade Nova.,,Arquivada
,,,,,,,,,,
5778,   ,2013,,Requerimento,,Júlio Gasparette,,Solicita a operação tapa buraco na Av. Senhor dos Passos no Bairro São Pedro.,,Arquivada
,,,,,,,,,,
5777,   ,2013,,Requerimento,,Júlio Gasparette,,Solicita passar a patrol na Rua Francisco Fayer Sobrinho no Bairro São Pedro.,,Arquivada
,,,,,,,,,,
5776,   ,2013,,Requerimento,,Júlio Gasparette,,Solicita a limpeza e capina na Av. Santa Luzia até o final da mesma no Bairro Santa Luzia.,,Arquivada
,,,,,,,,,,
5775,   ,2013,,Requerimento,,Júlio Gasparette,,Solicita a colocação de abrigo de ponto de Ônibus na Rua das Margaridas próximo ao número 245 no Bairro Novo Horizonte.,,Arquivada
,,,,,,,,,,
5774,   ,2013,,Requerimento,,Júlio Gasparette,,"Solicita o corte de uma árvore na Rua Paula Lima, Bairro Centro.",,Arquivada
,,,,,,,,,,
5773,   ,2013,,Requerimento,,Júlio Gasparette,,Solicita a capina e limpeza na Rua Tupi no Bairro Santa Terezinha.,,Arquivada
,,,,,,,,,,
5772,   ,2013,,Requerimento,,Júlio Gasparette,,Solicita um estudo para implantação de redutor de velocidade.,,Arquivada
,,,,,,,,,,
5771,   ,2013,,Requerimento,,Noraldino Júnior,,Solicita a poda de árvore na Rua Sebastião de Andrade no Bairro Eldorado.,,Arquivada
,,,,,,,,,,
5770,   ,2013,,Requerimento,,Noraldino Júnior,,Solicita capina e limpeza de várias ruasdo bairro Vila Ideal.,,Arquivada
,,,,,,,,,,
5769,   ,2013,,Requerimento,,Noraldino Júnior,,Solicita a capina e limpeza em várias ruas do Bairro Fábrica.,,Arquivada
,,,,,,,,,,
5768,   ,2013,,Requerimento,,Noraldino Júnior,,Solicita a capina e limpeza em algumas ruas do Bairro Monte Castelo.,,Arquivada
,,,,,,,,,,
5766,   ,2013,,Requerimento,,Noraldino Júnior,,Solicita o Recapeamento asfáltico da Rua Coronel Aprígio Ribeiro no Bairro Esplanada.,,Arquivada
,,,,,,,,,,
5765,   ,2013,,Requerimento,,Noraldino Júnior,,Solicita a poda de árvore em Ruas do Bairro Fábrica.,,Arquivada
,,,,,,,,,,
5764,   ,2013,,Requerimento,,Noraldino Júnior,,Solicita a capina e limpeza em várias Ruas do Bairro Esplanada.,,Arquivada
,,,,,,,,,,
5763,   ,2013,,Requerimento,,Dr. Fiorilo,,Solicita o corte de vegetação e limpeza e retirada de entulho das vias do bairro Pedras Preciosas,,Arquivada
,,,,,,,,,,
5762,   ,2013,,Requerimento,,Dr. Fiorilo,,"Solicita a contenção de encosta em frente ao nº 1530 da av. Santa Luzia, bairro Santa Luzia",,Arquivada
,,,,,,,,,,
5761,   ,2013,,Requerimento,,Dr. Fiorilo,,"Solicita a contenção da encosta lateral do córrego de Santa Luzia, em frente ao nº 1398 da av. Santa Luzia, bairro Santa Luzia",,Arquivada
,,,,,,,,,,
5760,   ,2013,,Requerimento,,Cido Reis,,"Solicita que seja providenciado semáforo na Rua Da Bahia esquina com Pinto de Moura, ambas localizadas no bairro Poço Rico.",,Arquivada
,,,,,,,,,,
5759,   ,2013,,Requerimento,,Cido Reis,,Solicita asfaltamento em todo bairro São Judas Tadeu.,,Arquivada
,,,,,,,,,,
5758,   ,2013,,Requerimento,,Cido Reis,,Solicita rede de esgoto em todo bairro São Judas Tadeu.,,Arquivada
,,,,,,,,,,
5757,   ,2013,,Requerimento,,Cido Reis,,Solicita rede de água pluvial em todo bairro São Judas Tadeu.,,Arquivada
,,,,,,,,,,
5756,   ,2013,,Requerimento,,Cido Reis,,Solicita melhor iluminação pública em todo bairro São Judas Tadeu.,,Arquivada
,,,,,,,,,,
5755,   ,2013,,Requerimento,,Zé Márcio,,"Solicita junto a Secretaria de Obras, manutenção no campo do Esporte Clube Santo Antonio.",,Arquivada
